COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
,,,64224287841,1
,,,224287841,1
,,,094322101 man this is a phone number,1
,,,phone numbers are stupid,0
,,,what else can i right here to fill space,0
,,,who cares ,0
,,,this is my phone number +64224287841,1
,,,what a coincidence mines 0224287841,1
